user_sn,Group,total_actions,unique_videos,actions_per_video,Cluster,Cluster_Label,PC1,PC2
132515,Group 1 (Initial),324.0,23.0,14.08695652173913,0,Medium (中活躍),0.660689568157954,0.6490757733763812
87937,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
98073,Group 1 (Initial),18.0,4.0,4.5,1,Low (低活躍),-0.2723737794538501,-0.3763095461016432
228921,Group 1 (Initial),216.0,15.0,14.4,1,Low (低活躍),0.3709094591357496,0.1829769675400433
86496,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
88026,Group 1 (Initial),3.0,1.0,3.0,1,Low (低活躍),-0.367180164941168,-0.5420130987501153
183651,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
178381,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
75110,Group 1 (Initial),69.0,4.0,17.25,1,Low (低活躍),0.0139619011776445,-0.4759000252545411
2766,Group 1 (Initial),37.0,5.0,7.4,1,Low (低活躍),-0.1799662946982881,-0.3403100576630436
77402,Group 1 (Initial),611.0,71.0,8.605633802816902,0,Medium (中活躍),1.7743995674723954,3.5122980791326603
88271,Group 1 (Initial),15.0,7.0,2.142857142857143,1,Low (低活躍),-0.2682264383193782,-0.1801922440136281
184449,Group 1 (Initial),23.0,5.0,4.6,1,Low (低活躍),-0.2472431401530269,-0.3181282889907613
1016,Group 1 (Initial),535.0,25.0,21.4,0,Medium (中活躍),1.1415494238707091,0.6907180753176972
75272,Group 1 (Initial),11.0,1.0,11.0,1,Low (低活躍),-0.2251924261335535,-0.6018362281165371
56500,Group 1 (Initial),861.0,34.0,25.323529411764707,0,Medium (中活躍),1.8577401885406573,1.1608726278657515
75816,Group 1 (Initial),1486.0,24.0,61.91666666666666,0,Medium (中活躍),3.274220194820966,0.2271635643482993
13020,Group 1 (Initial),2383.0,22.0,108.3181818181818,0,Medium (中活躍),5.4016700584128445,-0.3332206071311685
13053,Group 1 (Initial),384.0,44.0,8.727272727272727,0,Medium (中活躍),0.9971063394301556,1.9308334381160648
194425,Group 1 (Initial),17.0,1.0,17.0,1,Low (低活躍),-0.1187016220278426,-0.6467035751413537
75066,Group 1 (Initial),40.0,5.0,8.0,1,Low (低活躍),-0.1655498278151298,-0.3450632938071041
14737,Group 1 (Initial),6905.0,19.0,363.42105263157896,2,High (高活躍),16.580300615133794,-2.893077504112032
170744,Group 1 (Initial),472.0,29.0,16.275862068965516,0,Medium (中活躍),1.0224097015667757,0.9733551014090642
88959,Group 1 (Initial),125.0,15.0,8.333333333333334,1,Low (低活躍),0.129911802593416,0.2377740305476759
70178,Group 1 (Initial),141.0,8.0,17.625,1,Low (低活躍),0.1957066972123093,-0.2487650234893014
216161,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
170372,Group 1 (Initial),441.0,19.0,23.210526315789476,0,Medium (中活躍),0.9293011863137104,0.3309792546148959
39073,Group 1 (Initial),6962.0,55.0,126.58181818181818,2,High (高活躍),13.401925303784424,0.9863854614199974
93701,Group 1 (Initial),93.0,12.0,7.75,1,Low (低活躍),0.0232502589970311,0.0672052516155325
13295,Group 1 (Initial),326.0,27.0,12.074074074074074,0,Medium (中活躍),0.6939193700949728,0.9015749030455537
51593,Group 1 (Initial),163.0,21.0,7.761904761904762,1,Low (低活躍),0.274301374950341,0.5946029723613031
76422,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
93893,Group 1 (Initial),127.0,24.0,5.291666666666667,1,Low (低活躍),0.2248174155584046,0.7952178248017779
127846,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
94078,Group 1 (Initial),191.0,22.0,8.681818181818182,1,Low (低活躍),0.348801286707868,0.6441900790452849
228998,Group 1 (Initial),109.0,10.0,10.9,1,Low (低活躍),0.0680010558561155,-0.076723305383321
178344,Group 1 (Initial),22.0,4.0,5.5,1,Low (低活躍),-0.2499160790121642,-0.3841205640744195
184411,Group 1 (Initial),7.0,1.0,7.0,1,Low (低活躍),-0.2961862955373607,-0.5719246634333262
75855,Group 1 (Initial),102.0,13.0,7.846153846153846,1,Low (低活躍),0.0545976498945226,0.1249706736913605
167466,Group 1 (Initial),443.0,5.0,88.6,1,Low (低活躍),1.7710622234891378,-0.9835813491592308
113961,Group 1 (Initial),609.0,60.0,10.15,0,Medium (中活躍),1.6239414546143758,2.8469383645246458
184828,Group 1 (Initial),706.0,41.0,17.21951219512195,0,Medium (中活躍),1.592965478842464,1.6540973230122122
93845,Group 1 (Initial),142.0,18.0,7.888888888888889,1,Low (低活躍),0.1963990487768854,0.4175799270849287
170382,Group 1 (Initial),463.0,31.0,14.935483870967742,0,Medium (中活躍),1.0179244850992435,1.1031751521488558
13877,Group 1 (Initial),2221.0,14.0,158.64285714285714,0,Medium (中活躍),5.836248091547089,-1.1617512657608968
184349,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
240896,Group 1 (Initial),867.0,20.0,43.35,0,Medium (中活躍),1.9395072962304865,0.1947839424453474
27279,Group 1 (Initial),167.0,22.0,7.590909090909091,1,Low (低活躍),0.2934779059957697,0.6548916559012314
215864,Group 1 (Initial),3.0,1.0,3.0,1,Low (低活躍),-0.367180164941168,-0.5420130987501153
178455,Group 1 (Initial),100.0,10.0,10.0,1,Low (低活躍),0.0393125058952769,-0.0690937609642699
229501,Group 1 (Initial),27.0,7.0,3.857142857142857,1,Low (低活躍),-0.2216545522638012,-0.1941536350560564
230630,Group 1 (Initial),1359.0,58.0,23.43103448275862,0,Medium (中活躍),2.9847918148118056,2.546870983039184
180923,Group 1 (Initial),209.0,23.0,9.08695652173913,0,Medium (中活躍),0.3992753514096134,0.6986798786360922
229499,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
76576,Group 1 (Initial),312.0,20.0,15.6,1,Low (低活躍),0.6193396115450659,0.4608424578819772
121277,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
73123,Group 1 (Initial),385.0,22.0,17.5,0,Medium (中活躍),0.7959986141306624,0.5576856661263834
52022,Group 1 (Initial),532.0,35.0,15.2,0,Medium (中活躍),1.1931725601002146,1.3314571986997594
125019,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
131251,Group 1 (Initial),667.0,14.0,47.642857142857146,1,Low (低活躍),1.601027098948364,-0.1714713540525083
251838,Group 1 (Initial),119.0,8.0,14.875,1,Low (低活躍),0.1166808329983151,-0.2260632591235969
88805,Group 1 (Initial),517.0,74.0,6.986486486486487,0,Medium (中活躍),1.6476399969419897,3.713083525906601
252712,Group 1 (Initial),65.0,8.0,8.125,1,Low (低活躍),-0.0772917427996707,-0.1703407465895947
239275,Group 1 (Initial),692.0,37.0,18.7027027027027,0,Medium (中活躍),1.5323290053752403,1.4068328610389251
79967,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
142561,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
76268,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
2472,Group 1 (Initial),45.0,3.0,15.0,1,Low (低活躍),-0.0757781354540145,-0.516132754143779
170471,Group 1 (Initial),810.0,39.0,20.76923076923077,0,Medium (中活躍),1.7823207157798284,1.4974523801494273
75825,Group 1 (Initial),6439.0,5.0,1287.8,2,High (高活躍),30.58477403396157,-10.48371598908814
239702,Group 1 (Initial),518.0,22.0,23.545454545454547,0,Medium (中活躍),1.1025823489102071,0.4983810943830128
75938,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
87839,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
52229,Group 1 (Initial),1762.0,17.0,103.6470588235294,0,Medium (中活躍),4.272965777739486,-0.5272176685007357
75473,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
228743,Group 1 (Initial),3.0,1.0,3.0,1,Low (低活躍),-0.367180164941168,-0.5420130987501153
129227,Group 1 (Initial),207.0,18.0,11.5,1,Low (低活躍),0.3568555987527505,0.383759669779608
70078,Group 1 (Initial),82.0,9.0,9.11111111111111,1,Low (低活躍),-0.0189880249332107,-0.1200198433538558
228745,Group 1 (Initial),35.0,4.0,8.75,1,Low (低活躍),-0.1769285525766852,-0.4095063724859425
165765,Group 1 (Initial),252.0,11.0,22.90909090909091,1,Low (低活躍),0.502430300180338,-0.1215983544682818
93867,Group 1 (Initial),133.0,11.0,12.090909090909092,1,Low (低活躍),0.1406063540511468,-0.028688413791763
164256,Group 1 (Initial),1425.0,13.0,109.6153846153846,0,Medium (中活躍),3.777865636161737,-0.7716567920791108
70359,Group 1 (Initial),276.0,6.0,46.0,1,Low (低活躍),0.8353653606936816,-0.5917363738900111
229016,Group 1 (Initial),9.0,1.0,9.0,1,Low (低活躍),-0.2606893608354571,-0.5868804457749317
251092,Group 1 (Initial),5.0,1.0,5.0,1,Low (低活躍),-0.3316832302392644,-0.5569688810917207
